           ﻿nama_variabel;nama_variabel_turunan;nama_tahun;nama_turunan_tahun;data_content;nama_item_vertical_variabel
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2022;Tahun;481605;ACEH
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2022;Tahun;967611;"SUMATERA UTARA"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2022;Tahun;432347;"SUMATERA BARAT"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2022;Tahun;213793;RIAU
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2022;Tahun;162002;JAMBI
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2022;Tahun;317125;"SUMATERA SELATAN"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2022;Tahun;161390;BENGKULU
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2022;Tahun;906568;LAMPUNG
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2022;Tahun;20086;"KEP. BANGKA BELITUNG"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2022;Tahun;29156;"KEP. RIAU"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2022;Tahun;1751;"DKI JAKARTA"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2022;Tahun;424459;"JAWA BARAT"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2022;Tahun;1910864;"JAWA TENGAH"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2022;Tahun;319060;"DI YOGYAKARTA"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2022;Tahun;5070240;"JAWA TIMUR"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2022;Tahun;21744;BANTEN
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2022;Tahun;575218;BALI
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2022;Tahun;1474516;"NUSA TENGGARA BARAT"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2022;Tahun;1243884;"NUSA TENGGARA TIMUR"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2022;Tahun;158938;"KALIMANTAN BARAT"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2022;Tahun;87883;"KALIMANTAN TENGAH"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2022;Tahun;173977;"KALIMANTAN SELATAN"
