"STATISTIC Label","Year","Type of Animal","UNIT","VALUE"
"Farm Animals in December","2005","Total cattle","Thousand","6390.2"
"Farm Animals in December","2005","Cows","Thousand","2109.5"
"Farm Animals in December","2005","Dairy cows","Thousand","995.8"
"Farm Animals in December","2005","Other cows","Thousand","1113.7"
"Farm Animals in December","2005","Bulls","Thousand","59.7"
"Farm Animals in December","2005","Cattle: 2 years and over","Thousand","516.6"
"Farm Animals in December","2005","Cattle male: 2 years and over","Thousand","237"
"Farm Animals in December","2005","Cattle female: 2 years and over","Thousand","279.6"
"Farm Animals in December","2005","Cattle: 1-2 years","Thousand","1732.3"
"Farm Animals in December","2005","Cattle male: 1-2 years","Thousand","898.8"
"Farm Animals in December","2005","Cattle female: 1-2 years","Thousand","833.5"
"Farm Animals in December","2005","Cattle: under 1 year","Thousand","1972.1"
"Farm Animals in December","2005","Cattle male: under 1 year","Thousand","980"
"Farm Animals in December","2005","Cattle female: under 1 year","Thousand","992.1"
"Farm Animals in December","2005","Total cattle: male","Thousand","2175.5"
"Farm Animals in December","2005","Total cattle: female","Thousand","4214.7"
"Farm Animals in December","2005","Total sheep","Thousand","4257"
"Farm Animals in December","2005","Breeding sheep","Thousand","3304.8"
"Farm Animals in December","2005","Ewes","Thousand","3208.6"
"Farm Animals in December","2005","Ewes: 2 years and over","Thousand","2692.5"
"Farm Animals in December","2005","Ewes: under 2 years","Thousand","516.1"
"Farm Animals in December","2005","Rams","Thousand","96.2"
"Farm Animals in December","2005","Other sheep","Thousand","952.3"
"Farm Animals in December","2005","Total pigs","Thousand","1670.8"
"Farm Animals in December","2005","Breeding pigs","Thousand","177"
"Farm Animals in December","2005","Gilts in pig","Thousand","21"
"Farm Animals in December","2005","Sows in pig","Thousand","99.2"
"Farm Animals in December","2005","Other sows for breeding","Thousand","35.5"
"Farm Animals in December","2005","Gilts not yet served","Thousand","19"
"Farm Animals in December","2005","Boars","Thousand","2.3"
"Farm Animals in December","2005","Other pigs","Thousand","1493.8"
"Farm Animals in December","2005","Other pigs: 20kg and under 50kg","Thousand","482.4"
"Farm Animals in December","2005","Other pigs: 50kg and under 80kg","Thousand","366.7"
"Farm Animals in December","2005","Other pigs: 80kg and over","Thousand","166.3"
"Farm Animals in December","2005","Other pigs: under 20kg","Thousand","478.4"
"Farm Animals in December","2006","Total cattle","Thousand","6340.2"
"Farm Animals in December","2006","Cows","Thousand","2181.9"
"Farm Animals in December","2006","Dairy cows","Thousand","1022.8"
"Farm Animals in December","2006","Other cows","Thousand","1159.1"
"Farm Animals in December","2006","Bulls","Thousand","56.2"
"Farm Animals in December","2006","Cattle: 2 years and over","Thousand","538.9"
"Farm Animals in December","2006","Cattle male: 2 years and over","Thousand","252.2"
"Farm Animals in December","2006","Cattle female: 2 years and over","Thousand","286.7"
"Farm Animals in December","2006","Cattle: 1-2 years","Thousand","1674.6"
"Farm Animals in December","2006","Cattle male: 1-2 years","Thousand","843.2"
"Farm Animals in December","2006","Cattle female: 1-2 years","Thousand","831.4"
"Farm Animals in December","2006","Cattle: under 1 year","Thousand","1888.5"
"Farm Animals in December","2006","Cattle male: under 1 year","Thousand","920.9"
"Farm Animals in December","2006","Cattle female: under 1 year","Thousand","967.6"
"Farm Animals in December","2006","Total cattle: male","Thousand","2072.6"
"Farm Animals in December","2006","Total cattle: female","Thousand","4267.6"
"Farm Animals in December","2006","Total sheep","Thousand","3826.3"
"Farm Animals in December","2006","Breeding sheep","Thousand","3021.2"
"Farm Animals in December","2006","Ewes","Thousand","2931.5"
"Farm Animals in December","2006","Ewes: 2 years and over","Thousand","2471.8"
"Farm Animals in December","2006","Ewes: under 2 years","Thousand","459.7"
"Farm Animals in December","2006","Rams","Thousand","89.7"
"Farm Animals in December","2006","Other sheep","Thousand","805.1"
"Farm Animals in December","2006","Total pigs","Thousand","1620"
"Farm Animals in December","2006","Breeding pigs","Thousand","168.9"
"Farm Animals in December","2006","Gilts in pig","Thousand","21.7"
"Farm Animals in December","2006","Sows in pig","Thousand","95.5"
"Farm Animals in December","2006","Other sows for breeding","Thousand","31.4"
"Farm Animals in December","2006","Gilts not yet served","Thousand","18.3"
"Farm Animals in December","2006","Boars","Thousand","2"
"Farm Animals in December","2006","Other pigs","Thousand","1451.1"
"Farm Animals in December","2006","Other pigs: 20kg and under 50kg","Thousand","459.3"
"Farm Animals in December","2006","Other pigs: 50kg and under 80kg","Thousand","349.2"
"Farm Animals in December","2006","Other pigs: 80kg and over","Thousand","221.9"
"Farm Animals in December","2006","Other pigs: under 20kg","Thousand","420.7"
"Farm Animals in December","2007","Total cattle","Thousand","6247.6"
"Farm Animals in December","2007","Cows","Thousand","2180.2"
"Farm Animals in December","2007","Dairy cows","Thousand","1017.3"
"Farm Animals in December","2007","Other cows","Thousand","1163"
"Farm Animals in December","2007","Bulls","Thousand","53.5"
"Farm Animals in December","2007","Cattle: 2 years and over","Thousand","524.7"
"Farm Animals in December","2007","Cattle male: 2 years and over","Thousand","234.3"
"Farm Animals in December","2007","Cattle female: 2 years and over","Thousand","290.4"
"Farm Animals in December","2007","Cattle: 1-2 years","Thousand","1609.6"
"Farm Animals in December","2007","Cattle male: 1-2 years","Thousand","789.3"
"Farm Animals in December","2007","Cattle female: 1-2 years","Thousand","820.2"
"Farm Animals in December","2007","Cattle: under 1 year","Thousand","1879.5"
"Farm Animals in December","2007","Cattle male: under 1 year","Thousand","920.3"
"Farm Animals in December","2007","Cattle female: under 1 year","Thousand","959.2"
"Farm Animals in December","2007","Total cattle: male","Thousand","1997.5"
"Farm Animals in December","2007","Total cattle: female","Thousand","4250.1"
"Farm Animals in December","2007","Total sheep","Thousand","3530.5"
"Farm Animals in December","2007","Breeding sheep","Thousand","2744.7"
"Farm Animals in December","2007","Ewes","Thousand","2662.9"
"Farm Animals in December","2007","Ewes: 2 years and over","Thousand","2255.4"
"Farm Animals in December","2007","Ewes: under 2 years","Thousand","407.4"
"Farm Animals in December","2007","Rams","Thousand","81.9"
"Farm Animals in December","2007","Other sheep","Thousand","785.8"
"Farm Animals in December","2007","Total pigs","Thousand","1500.5"
"Farm Animals in December","2007","Breeding pigs","Thousand","160.2"
"Farm Animals in December","2007","Gilts in pig","Thousand","22"
"Farm Animals in December","2007","Sows in pig","Thousand","93.6"
"Farm Animals in December","2007","Other sows for breeding","Thousand","26.4"
"Farm Animals in December","2007","Gilts not yet served","Thousand","16.6"
"Farm Animals in December","2007","Boars","Thousand","1.6"
"Farm Animals in December","2007","Other pigs","Thousand","1340.2"
"Farm Animals in December","2007","Other pigs: 20kg and under 50kg","Thousand","398.4"
"Farm Animals in December","2007","Other pigs: 50kg and under 80kg","Thousand","304.8"
"Farm Animals in December","2007","Other pigs: 80kg and over","Thousand","201.3"
"Farm Animals in December","2007","Other pigs: under 20kg","Thousand","435.7"
"Farm Animals in December","2008","Total cattle","Thousand","6303.9"
"Farm Animals in December","2008","Cows","Thousand","2199.1"
"Farm Animals in December","2008","Dairy cows","Thousand","1024.1"
"Farm Animals in December","2008","Other cows","Thousand","1175"
"Farm Animals in December","2008","Bulls","Thousand","50.2"
