"ID";"Periods";"CattleTotal_1";"YoungCattleForMilkTotal_2";"YoungCattleForMilk1YearFemale_3";"YoungCattleForMilk1YearMale_4";"YoungCattleForMilk12YearsFemale_5";"YoungCattleForMilk12YearsMale_6";"YoungCattleForMilk2YrsFemale_7";"CalvesForFatteningTotal_8";"CalvesForRoseMeat1Yr_9";"CalvesForWhiteMeat1Yr_10";"YoungCattleForFatteningTotal_11";"YoungCattleForFattening1YrFemale_12";"YoungCattleForFattening1YrMale_13";"YoungCattleForFattening12YrFemale_14";"YoungCattleForFattening12YrMale_15";"YoungCattleForFattening2YrFemale_16";"DairyCows2Years_17";"OtherCowsTotal_18";"CowsForFattening2Years_19";"SucklingCows2Years_20";"Bulls2YearsTotal_21";"BullsForBreeding2Years_22";"BullsForFattening2Years_23"
"0";"2008MM12";"    3996";"    1173";"     541";"      34";"     500";"      15";"      84";"     912";"     276";"     636";"     215";"      43";"      55";"      43";"      54";"      20";"    1542";"     134";"      45";"      88";"      20";"       9";"      11"
"1";"2009MM04";"    3968";"    1237";"     577";"      33";"     528";"      14";"      85";"     894";"     269";"     625";"     207";"      41";"      53";"      45";"      48";"      20";"    1489";"     123";"      40";"      83";"      17";"       8";"       9"
"2";"2009MM12";"    3998";"    1238";"     572";"      33";"     532";"      14";"      87";"     886";"     267";"     619";"     207";"      41";"      52";"      46";"      48";"      20";"    1521";"     126";"      41";"      85";"      20";"      10";"      10"
"3";"2010MM04";"    3975";"    1238";"     545";"      29";"     564";"      14";"      87";"     928";"     294";"     634";"     197";"      39";"      49";"      43";"      46";"      20";"    1479";"     115";"      37";"      78";"      17";"       8";"       9"
"4";"2010MM12";"    3960";"    1193";"     541";"      29";"     521";"      13";"      89";"     921";"     292";"     629";"     190";"      39";"      48";"      40";"      43";"      20";"    1518";"     118";"      38";"      80";"      20";"       9";"      11"
"5";"2011MM04";"    3885";"    1202";"     537";"      31";"     532";"      12";"      90";"     907";"     304";"     603";"     187";"      39";"      46";"      40";"      42";"      20";"    1470";"     105";"      32";"      73";"      17";"       8";"       9"
"6";"2011MM12";"    3912";"    1179";"     545";"      31";"     499";"      12";"      92";"     919";"     308";"     611";"     188";"      39";"      47";"      38";"      43";"      21";"    1504";"     108";"      33";"      75";"      16";"       7";"       9"
"7";"2012MM04";"    3879";"    1188";"     542";"      33";"     522";"      11";"      80";"     908";"     330";"     578";"     185";"      38";"      48";"      40";"      41";"      18";"    1484";"      99";"      29";"      70";"      16";"       7";"       9"
"8";"2012MM12";"    3985";"    1196";"     560";"      34";"     507";"      12";"      83";"     940";"     341";"     599";"     190";"      39";"      49";"      39";"      44";"      19";"    1541";"     103";"      30";"      73";"      15";"       6";"       9"
"9";"2013MM04";"    4000";"    1243";"     573";"      40";"     531";"      13";"      86";"     925";"     337";"     588";"     180";"      34";"      44";"      38";"      42";"      22";"    1553";"      84";"       .";"       .";"      14";"       .";"       ."
"10";"2013MM12";"    4090";"    1261";"     586";"      41";"     532";"      14";"      88";"     946";"     345";"     601";"     184";"      35";"      44";"      38";"      44";"      23";"    1597";"      86";"       .";"       .";"      17";"       .";"       ."
"11";"2014MM04";"    4068";"    1306";"     602";"      46";"     545";"      14";"      99";"     921";"     355";"     567";"     171";"      32";"      41";"      33";"      42";"      22";"    1572";"      82";"       .";"       .";"      16";"       .";"       ."
"12";"2014MM12";"    4169";"    1343";"     614";"      47";"     567";"      14";"     101";"     939";"     361";"     578";"     174";"      33";"      43";"      34";"      42";"      23";"    1610";"      84";"       .";"       .";"      17";"       .";"       ."
"13";"2015MM04";"    4134";"    1337";"     599";"      41";"     582";"      13";"     102";"     909";"     358";"     551";"     172";"      33";"      43";"      35";"      42";"      20";"    1622";"      80";"       .";"       .";"      13";"       .";"       ."
"14";"2015MM12";"    4315";"    1365";"     629";"      43";"     572";"      12";"     108";"     955";"     376";"     579";"     175";"      34";"      45";"      35";"      40";"      21";"    1717";"      85";"       .";"       .";"      17";"       .";"       ."
"15";"2016MM04";"    4251";"    1317";"     621";"      43";"     554";"      12";"      86";"     958";"     363";"     595";"     153";"      32";"      41";"      30";"      35";"      15";"    1745";"      68";"       .";"       .";"      11";"       .";"       ."
"16";"2016MM12";"    4294";"    1318";"     611";"      42";"     564";"      13";"      89";"     941";"     357";"     584";"     154";"      31";"      40";"      31";"      37";"      16";"    1794";"      70";"       .";"       .";"      16";"       .";"       ."
"17";"2017MM04";"    4096";"    1200";"     511";"      46";"     530";"       9";"     103";"     953";"     356";"     597";"     175";"      31";"      61";"      25";"      36";"      21";"    1694";"      59";"       .";"       .";"      16";"       .";"       ."
"18";"2017MM12";"    4030";"    1168";"     509";"      46";"     501";"      10";"     102";"     948";"     354";"     594";"     176";"      31";"      61";"      24";"      40";"      21";"    1665";"      58";"       .";"       .";"      15";"       .";"       ."
"19";"2018MM04";"    3897";"    1032";"     438";"      45";"     447";"       8";"      93";"     995";"     366";"     629";"     170";"      31";"      51";"      27";"      37";"      24";"    1622";"      63";"       .";"       .";"      15";"       .";"       ."
