"REF_DATE","GEO","DGUID","Livestock","Survey date","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1940","Canada","2016A000011124","Sheep and lambs, total","At January 1","Head","148","thousands","3","v62052","1.1.1","1870.1","","","","1"
"1941","Canada","2016A000011124","Sheep and lambs, total","At January 1","Head","148","thousands","3","v62052","1.1.1","1950.6","","","","1"
"1942","Canada","2016A000011124","Sheep and lambs, total","At January 1","Head","148","thousands","3","v62052","1.1.1","2090.3","","","","1"
"1943","Canada","2016A000011124","Sheep and lambs, total","At January 1","Head","148","thousands","3","v62052","1.1.1","2215.9","","","","1"
"1944","Canada","2016A000011124","Sheep and lambs, total","At January 1","Head","148","thousands","3","v62052","1.1.1","2204.0","","","","1"
"1945","Canada","2016A000011124","Sheep and lambs, total","At January 1","Head","148","thousands","3","v62052","1.1.1","1944.5","","","","1"
"1946","Canada","2016A000011124","Sheep and lambs, total","At January 1","Head","148","thousands","3","v62052","1.1.1","1757.1","","","","1"
"1947","Canada","2016A000011124","Sheep and lambs, total","At January 1","Head","148","thousands","3","v62052","1.1.1","1515.7","","","","1"
"1948","Canada","2016A000011124","Sheep and lambs, total","At January 1","Head","148","thousands","3","v62052","1.1.1","1229.0","","","","1"
"1949","Canada","2016A000011124","Sheep and lambs, total","At January 1","Head","148","thousands","3","v62052","1.1.1","1065.0","","","","1"
"1950","Canada","2016A000011124","Sheep and lambs, total","At January 1","Head","148","thousands","3","v62052","1.1.1","967.3","","","","1"
"1951","Canada","2016A000011124","Sheep and lambs, total","At January 1","Head","148","thousands","3","v62052","1.1.1","1015.5","","","","1"
"1952","Canada","2016A000011124","Sheep and lambs, total","At January 1","Head","148","thousands","3","v62052","1.1.1","1061.5","","","","1"
"1953","Canada","2016A000011124","Sheep and lambs, total","At January 1","Head","148","thousands","3","v62052","1.1.1","1073.5","","","","1"
"1954","Canada","2016A000011124","Sheep and lambs, total","At January 1","Head","148","thousands","3","v62052","1.1.1","1114.5","","","","1"
"1955","Canada","2016A000011124","Sheep and lambs, total","At January 1","Head","148","thousands","3","v62052","1.1.1","1106.0","","","","1"
"1956","Canada","2016A000011124","Sheep and lambs, total","At January 1","Head","148","thousands","3","v62052","1.1.1","1067.0","","","","1"
"1957","Canada","2016A000011124","Sheep and lambs, total","At January 1","Head","148","thousands","3","v62052","1.1.1","1082.0","","","","1"
"1958","Canada","2016A000011124","Sheep and lambs, total","At January 1","Head","148","thousands","3","v62052","1.1.1","1066.1","","","","1"
"1959","Canada","2016A000011124","Sheep and lambs, total","At January 1","Head","148","thousands","3","v62052","1.1.1","1058.9","","","","1"
"1960","Canada","2016A000011124","Sheep and lambs, total","At January 1","Head","148","thousands","3","v62052","1.1.1","1051.6","","","","1"
"1961","Canada","2016A000011124","Sheep and lambs, total","At January 1","Head","148","thousands","3","v62052","1.1.1","974.0","","","","1"
"1962","Canada","2016A000011124","Sheep and lambs, total","At January 1","Head","148","thousands","3","v62052","1.1.1","904.0","","","","1"
"1963","Canada","2016A000011124","Sheep and lambs, total","At January 1","Head","148","thousands","3","v62052","1.1.1","848.5","","","","1"
"1964","Canada","2016A000011124","Sheep and lambs, total","At January 1","Head","148","thousands","3","v62052","1.1.1","777.5","","","","1"
"1965","Canada","2016A000011124","Sheep and lambs, total","At January 1","Head","148","thousands","3","v62052","1.1.1","715.0","","","","1"
"1966","Canada","2016A000011124","Sheep and lambs, total","At January 1","Head","148","thousands","3","v62052","1.1.1","673.9","","","","1"
