"By province",2014.1/4,2014.1/4,2014.1/4,2014.1/4,2014.1/4,2014.1/4,2014.1/4,2014.1/4,2014.2/4,2014.2/4,2014.2/4,2014.2/4,2014.2/4,2014.2/4,2014.2/4,2014.2/4,2014.3/4,2014.3/4,2014.3/4,2014.3/4,2014.3/4,2014.3/4,2014.3/4,2014.3/4,2014.4/4,2014.4/4,2014.4/4,2014.4/4,2014.4/4,2014.4/4,2014.4/4,2014.4/4,2015.1/4,2015.1/4,2015.1/4,2015.1/4,2015.1/4,2015.1/4,2015.1/4,2015.1/4,2015.2/4,2015.2/4,2015.2/4,2015.2/4,2015.2/4,2015.2/4,2015.2/4,2015.2/4,2015.3/4,2015.3/4,2015.3/4,2015.3/4,2015.3/4,2015.3/4,2015.3/4,2015.3/4,2015.4/4,2015.4/4,2015.4/4,2015.4/4,2015.4/4,2015.4/4,2015.4/4,2015.4/4,2016.1/4,2016.1/4,2016.1/4,2016.1/4,2016.1/4,2016.1/4,2016.1/4,2016.1/4,2016.2/4,2016.2/4,2016.2/4,2016.2/4,2016.2/4,2016.2/4,2016.2/4,2016.2/4,2016.3/4,2016.3/4,2016.3/4,2016.3/4,2016.3/4,2016.3/4,2016.3/4,2016.3/4,2016.4/4,2016.4/4,2016.4/4,2016.4/4,2016.4/4,2016.4/4,2016.4/4,2016.4/4,2017.1/4,2017.1/4,2017.1/4,2017.1/4,2017.1/4,2017.1/4,2017.1/4,2017.1/4,2017.2/4,2017.2/4,2017.2/4,2017.2/4,2017.2/4,2017.2/4,2017.2/4,2017.2/4,2017.3/4,2017.3/4,2017.3/4,2017.3/4,2017.3/4,2017.3/4,2017.3/4,2017.3/4,2017.4/4,2017.4/4,2017.4/4,2017.4/4,2017.4/4,2017.4/4,2017.4/4,2017.4/4,2018.1/4,2018.1/4,2018.1/4,2018.1/4,2018.1/4,2018.1/4,2018.1/4,2018.1/4,2018.2/4,2018.2/4,2018.2/4,2018.2/4,2018.2/4,2018.2/4,2018.2/4,2018.2/4,2018.3/4,2018.3/4,2018.3/4,2018.3/4,2018.3/4,2018.3/4,2018.3/4,2018.3/4,2018.4/4,2018.4/4,2018.4/4,2018.4/4,2018.4/4,2018.4/4,2018.4/4,2018.4/4,2019.1/4,2019.1/4,2019.1/4,2019.1/4,2019.1/4,2019.1/4,2019.1/4,2019.1/4,2019.2/4,2019.2/4,2019.2/4,2019.2/4,2019.2/4,2019.2/4,2019.2/4,2019.2/4,2019.3/4,2019.3/4,2019.3/4,2019.3/4,2019.3/4,2019.3/4,2019.3/4,2019.3/4,2019.4/4,2019.4/4,2019.4/4,2019.4/4,2019.4/4,2019.4/4,2019.4/4,2019.4/4,2020.1/4,2020.1/4,2020.1/4,2020.1/4,2020.1/4,2020.1/4,2020.1/4,2020.1/4,2020.2/4,2020.2/4,2020.2/4,2020.2/4,2020.2/4,2020.2/4,2020.2/4,2020.2/4,2020.3/4,2020.3/4,2020.3/4,2020.3/4,2020.3/4,2020.3/4,2020.3/4,2020.3/4,2020.4/4,2020.4/4,2020.4/4,2020.4/4,2020.4/4,2020.4/4,2020.4/4,2020.4/4,2021.1/4,2021.1/4,2021.1/4,2021.1/4,2021.1/4,2021.1/4,2021.1/4,2021.1/4,2021.2/4,2021.2/4,2021.2/4,2021.2/4,2021.2/4,2021.2/4,2021.2/4,2021.2/4,2021.3/4,2021.3/4,2021.3/4,2021.3/4,2021.3/4,2021.3/4,2021.3/4,2021.3/4,2021.4/4,2021.4/4,2021.4/4,2021.4/4,2021.4/4,2021.4/4,2021.4/4,2021.4/4,2022.1/4,2022.1/4,2022.1/4,2022.1/4,2022.1/4,2022.1/4,2022.1/4,2022.1/4,2022.2/4,2022.2/4,2022.2/4,2022.2/4,2022.2/4,2022.2/4,2022.2/4,2022.2/4,2022.3/4,2022.3/4,2022.3/4,2022.3/4,2022.3/4,2022.3/4,2022.3/4,2022.3/4,2022.4/4,2022.4/4,2022.4/4,2022.4/4,2022.4/4,2022.4/4,2022.4/4,2022.4/4,2023.1/4,2023.1/4,2023.1/4,2023.1/4,2023.1/4,2023.1/4,2023.1/4,2023.1/4,2023.2/4 p),2023.2/4 p),2023.2/4 p),2023.2/4 p),2023.2/4 p),2023.2/4 p),2023.2/4 p),2023.2/4 p)
"By province",Korean native cattle and beef cattle : Farms in households,Korean native cattle and beef cattle : Animals in heads,Korean native cattle : Farms in households,Korean native cattle : Animals in heads,Beef cattle : Farms in households,Beef cattle : Animals in heads,Dairy cattle : Farms in households,Dairy cattle : Animals in heads,Korean native cattle and beef cattle : Farms in households,Korean native cattle and beef cattle : Animals in heads,Korean native cattle : Farms in households,Korean native cattle : Animals in heads,Beef cattle : Farms in households,Beef cattle : Animals in heads,Dairy cattle : Farms in households,Dairy cattle : Animals in heads,Korean native cattle and beef cattle : Farms in households,Korean native cattle and beef cattle : Animals in heads,Korean native cattle : Farms in households,Korean native cattle : Animals in heads,Beef cattle : Farms in households,Beef cattle : Animals in heads,Dairy cattle : Farms in households,Dairy cattle : Animals in heads,Korean native cattle and beef cattle : Farms in households,Korean native cattle and beef cattle : Animals in heads,Korean native cattle : Farms in households,Korean native cattle : Animals in heads,Beef cattle : Farms in households,Beef cattle : Animals in heads,Dairy cattle : Farms in households,Dairy cattle : Animals in heads,Korean native cattle and beef cattle : Farms in households,Korean native cattle and beef cattle : Animals in heads,Korean native cattle : Farms in households,Korean native cattle : Animals in heads,Beef cattle : Farms in households,Beef cattle : Animals in heads,Dairy cattle : Farms in households,Dairy cattle : Animals in heads,Korean native cattle and beef cattle : Farms in households,Korean native cattle and beef cattle : Animals in heads,Korean native cattle : Farms in households,Korean native cattle : Animals in heads,Beef cattle : Farms in households,Beef cattle : Animals in heads,Dairy cattle : Farms in households,Dairy cattle : Animals in heads,Korean native cattle and beef cattle : Farms in households,Korean native cattle and beef cattle : Animals in heads,Korean native cattle : Farms in households,Korean native cattle : Animals in heads,Beef cattle : Farms in households,Beef cattle : Animals in heads,Dairy cattle : Farms in households,Dairy cattle : Animals in heads,Korean native cattle and beef cattle : Farms in households,Korean native cattle and beef cattle : Animals in heads,Korean native cattle : Farms in households,Korean native cattle : Animals in heads,Beef cattle : Farms in households,Beef cattle : Animals in heads,Dairy cattle : Farms in households,Dairy cattle : Animals in heads,Korean native cattle and beef cattle : Farms in households,Korean native cattle and beef cattle : Animals in heads,Korean native cattle : Farms in households,Korean native cattle : Animals in heads,Beef cattle : Farms in households,Beef cattle : Animals in heads,Dairy cattle : Farms in households,Dairy cattle : Animals in heads,Korean native cattle and beef cattle : Farms in households,Korean native cattle and beef cattle : Animals in heads,Korean native cattle : Farms in households,Korean native cattle : Animals in heads,Beef cattle : Farms in households,Beef cattle : Animals in heads,Dairy cattle : Farms in households,Dairy cattle : Animals in heads,Korean native cattle and beef cattle : Farms in households,Korean native cattle and beef cattle : Animals in heads,Korean native cattle : Farms in households,Korean native cattle : Animals in heads,Beef cattle : Farms in households,Beef cattle : Animals in heads,Dairy cattle : Farms in households,Dairy cattle : Animals in heads,Korean native cattle and beef cattle : Farms in households,Korean native cattle and beef cattle : Animals in heads,Korean native cattle : Farms in households,Korean native cattle : Animals in heads,Beef cattle : Farms in households,Beef cattle : Animals in heads,Dairy cattle : Farms in households,Dairy cattle : Animals in heads,Korean native cattle and beef cattle : Farms in households,Korean native cattle and beef cattle : Animals in heads,Korean native cattle : Farms in households,Korean native cattle : Animals in heads,Beef cattle : Farms in households,Beef cattle : Animals in heads,Dairy cattle : Farms in households,Dairy cattle : Animals in heads,Korean native cattle and beef cattle : Farms in households,Korean native cattle and beef cattle : Animals in heads,Korean native cattle : Farms in households,Korean native cattle : Animals in heads,Beef cattle : Farms in households,Beef cattle : Animals in heads,Dairy cattle : Farms in households,Dairy cattle : Animals in heads,Korean native cattle and beef cattle : Farms in households,Korean native cattle and beef cattle : Animals in heads,Korean native cattle : Farms in households,Korean native cattle : Animals in heads,Beef cattle : Farms in households,Beef cattle : Animals in heads,Dairy cattle : Farms in households,Dairy cattle : Animals in heads,Korean native cattle and beef cattle : Farms in households,Korean native cattle and beef cattle : Animals in heads,Korean native cattle : Farms in households,Korean native cattle : Animals in heads,Beef cattle : Farms in households,Beef cattle : Animals in heads,Dairy cattle : Farms in households,Dairy cattle : Animals in heads,Korean native cattle and beef cattle : Farms in households,Korean native cattle and beef cattle : Animals in heads,Korean native cattle : Farms in households,Korean native cattle : Animals in heads,Beef cattle : Farms in households,Beef cattle : Animals in heads,Dairy cattle : Farms in households,Dairy cattle : Animals in heads,Korean native cattle and beef cattle : Farms in households,Korean native cattle and beef cattle : Animals in heads,Korean native cattle : Farms in households,Korean native cattle : Animals in heads,Beef cattle : Farms in households,Beef cattle : Animals in heads,Dairy cattle : Farms in households,Dairy cattle : Animals in heads,Korean native cattle and beef cattle : Farms in households,Korean native cattle and beef cattle : Animals in heads,Korean native cattle : Farms in households,Korean native cattle : Animals in heads,Beef cattle : Farms in households,Beef cattle : Animals in heads,Dairy cattle : Farms in households,Dairy cattle : Animals in heads,Korean native cattle and beef cattle : Farms in households,Korean native cattle and beef cattle : Animals in heads,Korean native cattle : Farms in households,Korean native cattle : Animals in heads,Beef cattle : Farms in households,Beef cattle : Animals in heads,Dairy cattle : Farms in households,Dairy cattle : Animals in heads,Korean native cattle and beef cattle : Farms in households,Korean native cattle and beef cattle : Animals in heads,Korean native cattle : Farms in households,Korean native cattle : Animals in heads,Beef cattle : Farms in households,Beef cattle : Animals in heads,Dairy cattle : Farms in households,Dairy cattle : Animals in heads,Korean native cattle and beef cattle : Farms in households,Korean native cattle and beef cattle : Animals in heads,Korean native cattle : Farms in households,Korean native cattle : Animals in heads,Beef cattle : Farms in households,Beef cattle : Animals in heads,Dairy cattle : Farms in households,Dairy cattle : Animals in heads,Korean native cattle and beef cattle : Farms in households,Korean native cattle and beef cattle : Animals in heads,Korean native cattle : Farms in households,Korean native cattle : Animals in heads,Beef cattle : Farms in households,Beef cattle : Animals in heads,Dairy cattle : Farms in households,Dairy cattle : Animals in heads,Korean native cattle and beef cattle : Farms in households,Korean native cattle and beef cattle : Animals in heads,Korean native cattle : Farms in households,Korean native cattle : Animals in heads,Beef cattle : Farms in households,Beef cattle : Animals in heads,Dairy cattle : Farms in households,Dairy cattle : Animals in heads,Korean native cattle and beef cattle : Farms in households,Korean native cattle and beef cattle : Animals in heads,Korean native cattle : Farms in households,Korean native cattle : Animals in heads,Beef cattle : Farms in households,Beef cattle : Animals in heads,Dairy cattle : Farms in households,Dairy cattle : Animals in heads,Korean native cattle and beef cattle : Farms in households,Korean native cattle and beef cattle : Animals in heads,Korean native cattle : Farms in households,Korean native cattle : Animals in heads,Beef cattle : Farms in households,Beef cattle : Animals in heads,Dairy cattle : Farms in households,Dairy cattle : Animals in heads,Korean native cattle and beef cattle : Farms in households,Korean native cattle and beef cattle : Animals in heads,Korean native cattle : Farms in households,Korean native cattle : Animals in heads,Beef cattle : Farms in households,Beef cattle : Animals in heads,Dairy cattle : Farms in households,Dairy cattle : Animals in heads,Korean native cattle and beef cattle : Farms in households,Korean native cattle and beef cattle : Animals in heads,Korean native cattle : Farms in households,Korean native cattle : Animals in heads,Beef cattle : Farms in households,Beef cattle : Animals in heads,Dairy cattle : Farms in households,Dairy cattle : Animals in heads,Korean native cattle and beef cattle : Farms in households,Korean native cattle and beef cattle : Animals in heads,Korean native cattle : Farms in households,Korean native cattle : Animals in heads,Beef cattle : Farms in households,Beef cattle : Animals in heads,Dairy cattle : Farms in households,Dairy cattle : Animals in heads,Korean native cattle and beef cattle : Farms in households,Korean native cattle and beef cattle : Animals in heads,Korean native cattle : Farms in households,Korean native cattle : Animals in heads,Beef cattle : Farms in households,Beef cattle : Animals in heads,Dairy cattle : Farms in households,Dairy cattle : Animals in heads,Korean native cattle and beef cattle : Farms in households,Korean native cattle and beef cattle : Animals in heads,Korean native cattle : Farms in households,Korean native cattle : Animals in heads,Beef cattle : Farms in households,Beef cattle : Animals in heads,Dairy cattle : Farms in households,Dairy cattle : Animals in heads,Korean native cattle and beef cattle : Farms in households,Korean native cattle and beef cattle : Animals in heads,Korean native cattle : Farms in households,Korean native cattle : Animals in heads,Beef cattle : Farms in households,Beef cattle : Animals in heads,Dairy cattle : Farms in households,Dairy cattle : Animals in heads,Korean native cattle and beef cattle : Farms in households,Korean native cattle and beef cattle : Animals in heads,Korean native cattle : Farms in households,Korean native cattle : Animals in heads,Beef cattle : Farms in households,Beef cattle : Animals in heads,Dairy cattle : Farms in households,Dairy cattle : Animals in heads,Korean native cattle and beef cattle : Farms in households,Korean native cattle and beef cattle : Animals in heads,Korean native cattle : Farms in households,Korean native cattle : Animals in heads,Beef cattle : Farms in households,Beef cattle : Animals in heads,Dairy cattle : Farms in households,Dairy cattle : Animals in heads,Korean native cattle and beef cattle : Farms in households,Korean native cattle and beef cattle : Animals in heads,Korean native cattle : Farms in households,Korean native cattle : Animals in heads,Beef cattle : Farms in households,Beef cattle : Animals in heads,Dairy cattle : Farms in households,Dairy cattle : Animals in heads,Korean native cattle and beef cattle : Farms in households,Korean native cattle and beef cattle : Animals in heads,Korean native cattle : Farms in households,Korean native cattle : Animals in heads,Beef cattle : Farms in households,Beef cattle : Animals in heads,Dairy cattle : Farms in households,Dairy cattle : Animals in heads,Korean native cattle and beef cattle : Farms in households,Korean native cattle and beef cattle : Animals in heads,Korean native cattle : Farms in households,Korean native cattle : Animals in heads,Beef cattle : Farms in households,Beef cattle : Animals in heads,Dairy cattle : Farms in households,Dairy cattle : Animals in heads,Korean native cattle and beef cattle : Farms in households,Korean native cattle and beef cattle : Animals in heads,Korean native cattle : Farms in households,Korean native cattle : Animals in heads,Beef cattle : Farms in households,Beef cattle : Animals in heads,Dairy cattle : Farms in households,Dairy cattle : Animals in heads
"Whole country",131975,3082740,127560,2951142,8426,131598,6946,436739,127127,3149275,122830,3025877,8199,123398,6917,436061,122852,3103283,118350,2981899,8284,121384,6895,441849,116441,3027737,111914,2904274,8197,123463,6847,444552,113825,2896490,109236,2773590,8121,122900,6817,438968,111121,2983571,106451,2855824,8177,127747,6872,432572,108611,2996445,103853,2861569,8259,134876,6950,430289,106505,2908998,101670,2768945,8320,140053,6979,428311,105083,2820815,100176,2676384,8303,144431,6912,424676,104105,2966183,99322,2818078,8223,148105,6910,419768,103320,3015742,98420,2861463,8397,154279,6876,420820,102194,2963350,97498,2809820,8138,153530,6822,417937,101121,2884924,96436,2733530,8029,151394,6766,415831,100320,3034264,95823,2882255,7911,152009,6759,413843,99513,3119689,95017,2964340,7982,155349,6578,411378,98570,3019500,94107,2871400,7803,148100,6503,408830,97786,2947442,93286,2801374,7677,146068,6453,408046,97200,3117257,92826,2974919,7490,142338,6471,404525,97101,3167793,92608,3019652,7547,148141,6430,406977,96630,3112992,92238,2961521,7474,151471,6360,407894,95855,3059327,91496,2908007,7371,151320,6278,407126,94943,3242394,90856,3094077,7071,148317,6266,400799,94360,3268546,90142,3115850,7211,152696,6231,404004,94007,3237055,89731,3078184,7276,158871,6168,408135,93587,3197414,89411,3037880,7174,159534,6131,409223,93327,3383221,89248,3226029,7039,157192,6132,405828,93255,3434671,88995,3271982,7223,162689,6123,408132,93178,3395186,88994,3227181,7174,168005,6106,409790,93313,3373344,89138,3203940,7173,169404,6100,406013,93666,3567616,89711,3399241,6979,168375,6107,399680,93849,3623123,89786,3451178,7204,171945,6133,399745,93845,3589459,89824,3415332,7153,174127,6105,400798,93449,3557721,89501,3385324,7061,172397,6087,396723,93009,3734065,89258,3566945,6896,167120,5991,387996,92461,3752401,88725,3584049,6937,168352,5957,389726,91592,3726547,87852,3557185,6924,169362,5888,389860,90618,3632050,86922,3470499,6765,161551,5810,384873,89114,3685781,85616,3536336,6443,149445,5766,382592
"Seoul",5,190,3,68,4,122,2,94,5,139,3,59,4,80,2,90,4,193,2,64,3,129,2,85,4,206,2,68,3,138,2,85,3,187,1,72,2,115,1,12,3,185,1,70,2,115,1,11,1,81,1,81,0,0,1,15,2,79,1,78,1,1,1,15,2,77,1,76,1,1,1,14,1,86,1,86,0,0,1,15,1,95,1,95,0,0,1,16,2,98,1,97,1,1,1,17,1,97,1,97,0,0,1,16,1,101,1,101,0,0,1,21,2,116,1,114,1,2,1,18,2,109,1,107,1,2,1,15,1,100,1,100,0,0,1,14,2,98,1,96,1,2,1,14,2,104,1,101,1,3,1,14,2,103,1,100,1,3,1,14,2,104,1,101,1,3,1,15,2,100,1,95,1,5,1,14,2,100,1,96,1,4,1,13,1,98,1,98,0,0,1,15,2,94,1,92,1,2,1,15,2,90,1,89,1,1,1,13,2,87,1,84,1,3,1,12,1,77,1,77,0,0,1,13,2,80,1,79,1,1,1,13,2,75,1,74,1,1,1,14,2,67,1,65,1,2,1,15,2,70,1,67,1,3,1,15,2,60,1,58,1,2,1,13,2,56,1,54,1,2,1,16,2,48,1,46,1,2,1,13,2,42,1,40,1,2,1,12,1,34,1,34,0,0,1,11,2,28,1,27,1,1,1,11
"Busan",158,2228,149,2050,18,178,11,786,158,2260,151,2092,17,168,12,767,157,2108,150,1934,17,174,13,776,145,1994,138,1804,17,190,13,710,144,1946,135,1714,18,232,12,684,130,1830,125,1658,14,172,11,637,126,1782,121,1603,14,179,11,620,118,1656,114,1492,13,164,10,603,119,1571,113,1413,15,158,10,578,123,1632,115,1487,16,145,10,566,117,1628,110,1487,14,141,9,490,116,1639,109,1481,13,158,9,477,116,1638,109,1480,13,158,9,471,110,1619,104,1502,12,117,8,419,112,1640,107,1521,11,119,9,394,113,1634,107,1521,12,113,9,393,113,1661,107,1532,12,129,9,384,111,1659,105,1564,10,95,9,372,105,1579,100,1475,9,104,9,367,104,1542,99,1446,9,96,9,378,105,1513,100,1420,11,93,9,386,105,1535,100,1441,8,94,7,378,103,1572,97,1475,10,97,7,380,102,1575,97,1495,10,80,7,385,100,1536,95,1462,10,74,7,387,97,1588,92,1506,9,82,7,375,97,1615,92,1537,9,78,7,345,95,1563,92,1494,8,69,7,349,94,1584,92,1515,7,69,7,332,93,1559,90,1529,7,30,7,291,94,1595,90,1563,7,32,7,290,94,1532,91,1500,8,32,7,281,92,1525,91,1488,6,37,7,274,91,1569,90,1551,5,18,7,268,90,1608,88,1575,6,33,7,255,90,1591,87,1558,8,33,7,247,89,1569,86,1533,8,36,7,230,90,1548,86,1517,10,31,7,215
"Daegu",796,17642,775,16584,63,1058,39,1513,773,17307,752,16336,65,971,36,1525,735,16985,712,16013,63,972,36,1515,689,16595,664,15633,61,962,34,1521,666,15611,641,14745,59,866,33,1439,634,15610,612,14786,60,824,30,1337,625,15800,603,14908,59,892,28,1252,610,15543,587,14660,60,883,28,1231,595,15009,575,14208,54,801,26,1203,583,15339,565,14446,52,893,27,1186,582,15441,560,14586,55,855,28,1187,569,15528,551,14679,51,849,26,1113,559,14587,542,13810,51,777,26,1056,547,14879,532,14059,48,820,22,1037,534,15022,519,14251,50,771,21,969,521,14378,506,13699,46,679,22,925,519,13852,501,13232,47,620,20,869,507,14089,489,13504,43,585,21,852,505,14240,487,13699,42,541,18,839,496,13878,478,13356,41,522,17,823,491,13524,476,13072,37,452,17,793,486,14287,473,13706,38,581,18,770,473,13690,456,13161,38,529,17,785,473,13538,457,12999,37,539,21,772,469,13140,452,12573,39,567,20,733,461,13418,444,12889,36,529,18,715,456,13614,441,13097,38,517,17,723,453,13141,436,12615,34,526,17,739,445,12437,429,12097,32,340,15,742,436,12598,421,12316,30,282,15,725,432,12940,418,12654,31,286,12,729,430,12748,417,12410,30,338,13,665,424,12492,410,12161,29,331,14,678,420,12868,405,12468,28,400,13,638,415,12943,400,12557,29,386,14,590,415,13078,401,12593,26,485,14,596,412,12685,399,12241,28,444,10,539,404,12490,390,12076,28,414,8,549
"Incheon",607,22832,544,21305,115,1527,82,3151,599,23021,541,21219,116,1802,81,3106,585,22133,526,20215,115,1918,81,3165,582,22162,518,20072,126,2090,86,3222,577,20902,510,18785,127,2117,87,3181,564,20807,501,18559,127,2248,87,3091,550,20805,481,18428,138,2377,92,3023,560,20696,494,18191,145,2505,102,3099,558,19770,489,17330,147,2440,95,3209,544,20408,480,17745,136,2663,94,3249,542,20237,472,17446,140,2791,96,3211,553,20663,480,17911,142,2752,99,3136,566,19455,491,16783,142,2672,96,3045,560,20134,491,17365,141,2769,97,3116,565,20624,495,17947,145,2677,86,3080,568,20192,500,17695,135,2497,84,3122,559,20464,496,17892,129,2572,80,3135,552,21241,497,18630,114,2611,79,3148,564,20653,506,18255,116,2398,78,3026,563,20727,505,18380,113,2347,75,3022,553,20607,497,17988,118,2619,75,3062,540,20996,483,18187,118,2809,76,2981,526,20593,475,17475,114,3118,75,3081,507,21061,453,17498,110,3563,71,3093,496,20842,441,17433,111,3409,71,3035,500,21123,447,17642,105,3481,71,2943,504,20657,448,17302,106,3355,71,2942,503,21118,447,17564,103,3554,70,2978,496,20919,447,17509,95,3410,69,2969,502,21509,445,17721,107,3788,70,2927,506,21345,444,17622,108,3723,75,2961,515,21354,452,17751,114,3603,73,2994,507,21095,449,17618,108,3477,69,3023,498,21175,447,18148,99,3027,66,2852,501,20275,444,17176,103,3099,68,2861,503,20548,447,17560,102,2988,74,2864,499,20294,443,17542,99,2752,73,2794,483,19566,430,17062,94,2504,71,2758
"Gwangju",264,5415,258,5366,13,49,9,596,253,5370,248,5308,13,62,9,605,242,5050,238,4997,13,53,8,612,219,4718,215,4663,13,55,8,645,217,4681,213,4584,12,97,9,662,211,4676,206,4599,14,77,9,647,202,4597,197,4516,13,81,9,641,195,4339,191,4271,12,68,8,642,194,4195,188,4121,13,74,8,644,190,4273,184,4190,13,83,8,656,186,4392,180,4276,12,116,8,668,184,4224,178,4142,12,82,8,668,186,4216,180,4110,11,106,8,666,183,4258,178,4165,9,93,8,671,186,4494,180,4354,10,140,8,691,179,4293,173,4167,9,126,8,698,178,4056,172,3961,10,95,8,710,179,4192,174,4093,9,99,8,719,180,4165,174,4073,10,92,7,700,179,4363,174,4284,7,79,8,643,180,4197,174,4128,9,69,7,654,172,4456,167,4392,8,64,7,628,170,4441,165,4343,8,98,8,643,172,4566,167,4489,9,77,8,646,170,4203,165,4133,10,70,8,654,172,4296,167,4269,10,27,8,612,174,4211,168,4170,11,41,8,611,178,4113,172,4059,11,54,8,599,172,3834,167,3780,10,54,8,575,168,4007,164,3926,8,81,8,568,168,4006,163,3937,8,69,8,593,171,4050,166,3977,8,73,8,545,174,3914,169,3855,10,59,9,529,172,4034,168,4014,8,20,8,481,169,4100,164,4056,8,44,8,492,170,4023,165,3976,10,47,8,486,166,3968,161,3900,9,68,8,468,161,4035,156,3967,9,68,7,436
"Daejeon",239,4998,238,4984,2,14,0,0,231,5161,230,5148,2,13,0,0,229,5262,228,5259,1,3,0,0,226,5063,225,5060,1,3,0,0,221,4802,220,4799,1,3,0,0,219,5139,218,5136,1,3,0,0,217,5092,217,5092,0,0,0,0,209,5112,209,5112,0,0,0,0,206,4721,206,4721,0,0,0,0,205,5064,205,5064,0,0,0,0,200,5253,200,5253,0,0,0,0,195,4968,195,4968,0,0,0,0,192,4618,192,4618,0,0,0,0,187,5047,187,5047,0,0,0,0,182,5240,182,5240,0,0,0,0,183,4916,183,4915,1,1,0,0,179,4624,179,4624,0,0,0,0,179,5102,179,5063,1,39,0,0,184,5291,184,5214,1,77,0,0,186,4947,186,4854,1,93,0,0,183,4642,183,4563,1,79,0,0,184,5177,184,5099,1,78,0,0,187,4997,186,4939,1,58,0,0,183,4750,182,4696,1,54,0,0,182,4492,182,4460,1,32,0,0,176,4917,176,4885,1,32,0,0,173,4883,173,4858,1,25,0,0,171,4672,171,4629,1,43,0,0,171,4483,171,4435,1,48,0,0,170,4916,170,4855,1,61,0,0,169,4951,169,4850,1,101,0,0,165,4769,165,4677,1,92,0,0,164,4469,164,4377,1,92,0,0,166,4937,166,4857,1,80,1,1,168,5140,168,5064,1,76,0,0,164,5124,164,5049,1,75,0,0,165,4696,165,4633,1,63,0,0,162,4795,162,4729,1,66,0,0
"Ulsan",2114,34271,2103,34070,25,201,23,1074,2088,35765,2077,35557,25,208,24,1094,2038,34965,2025,34751,26,214,23,1114,1983,33707,1970,33482,27,225,23,1129,1926,32390,1916,32191,25,199,22,1135,1872,33493,1861,33330,26,163,20,963,1829,33592,1818,33447,26,145,19,946,1817,32016,1803,31802,29,214,23,957,1793,31532,1778,31260,29,272,22,975,1785,33088,1768,32775,30,313,23,997,1773,33251,1755,32903,30,348,23,985,1761,32162,1744,31813,29,349,23,957,1742,31948,1725,31604,28,344,24,972,1731,33520,1717,33229,29,291,27,969,1729,33660,1717,33363,27,297,29,922,1715,32436,1701,32113,28,323,30,968,1697,31827,1683,31492,30,335,29,957,1693,33609,1682,33372,29,237,27,888,1697,34006,1687,33793,25,213,26,887,1681,32652,1673,32474,28,178,22,906,1659,32544,1646,32339,28,205,21,918,1644,34466,1633,34314,25,152,20,896,1631,35053,1620,34925,19,128,19,866,1624,34321,1613,34226,18,95,19,869,1627,34539,1616,34454,17,85,19,862,1629,36623,1617,36551,20,72,23,862,1636,37008,1625,36924,17,84,23,793,1635,35912,1624,35829,18,83,23,787,1636,36003,1625,35917,18,86,24,803,1643,38430,1635,38363,13,67,23,782,1663,38913,1655,38844,16,69,24,726,1649,37985,1639,37912,17,73,25,745,1640,37796,1630,37736,19,60,24,760,1641,39697,1629,39638,20,59,24,755,1634,39557,1624,39504,17,53,21,744,1605,38826,1594,38763,18,63,21,754,1577,37872,1568,37813,17,59,19,739,1571,39083,1562,39031,16,52,19,730
"Sejong",826,25200,787,23980,85,1220,90,5320,817,25971,772,24739,85,1232,86,5273,825,25883,768,24761,91,1122,81,5332,786,25145,736,24183,81,962,78,5317,771,23749,715,22820,85,929,77,5236,754,24733,700,23714,83,1019,84,5020,761,25289,702,24153,85,1136,84,4913,745,24382,692,23146,78,1236,80,4851,741,23903,686,22320,84,1583,77,4838,733,24992,682,23224,82,1768,75,4797,734,25339,678,23500,82,1839,77,4743,723,25066,674,22965,84,2101,79,4645,731,24187,668,21910,97,2277,80,4690,721,25403,668,23304,88,2099,78,4659,714,25812,663,23986,83,1826,75,4707,702,24609,653,22746,82,1863,76,4641,698,23545,644,21776,83,1769,77,4647,700,25245,648,23611,75,1634,74,4529,704,25909,649,24400,78,1509,70,4543,703,25325,651,23950,78,1375,70,4562,701,25300,650,23952,73,1348,67,4565,690,26788,644,25599,68,1189,64,4483,697,26877,645,25773,72,1104,63,4470,695,26347,644,25279,71,1068,63,4464,684,25464,631,24475,75,989,63,4472,678,27444,630,26406,67,1038,60,4395,684,27854,636,26823,66,1031,60,4490,676,26450,633,25567,66,883,61,4483,675,25804,629,24909,67,895,63,4364,678,28047,632,27177,69,870,62,4244,673,28228,627,27372,72,856,61,4160,670,27363,620,26541,75,822,63,4110,667,26341,615,25616,75,725,63,4106,660,27687,617,27050,68,637,63,4010,665,27741,620,26958,70,783,60,4099,670,26888,622,26147,71,741,62,4093,655,25742,608,24990,69,752,61,4070,656,26490,611,25755,69,735,61,4059
