"By province",2017.1/4,2017.1/4,2017.1/4,2017.1/4,2017.1/4,2017.1/4,2017.1/4,2017.1/4,2017.1/4,2017.1/4,2017.2/4,2017.2/4,2017.2/4,2017.2/4,2017.2/4,2017.2/4,2017.2/4,2017.2/4,2017.2/4,2017.2/4,2017.3/4,2017.3/4,2017.3/4,2017.3/4,2017.3/4,2017.3/4,2017.3/4,2017.3/4,2017.3/4,2017.3/4,2017.4/4,2017.4/4,2017.4/4,2017.4/4,2017.4/4,2017.4/4,2017.4/4,2017.4/4,2017.4/4,2017.4/4,2018.1/4,2018.1/4,2018.1/4,2018.1/4,2018.1/4,2018.1/4,2018.1/4,2018.1/4,2018.1/4,2018.1/4,2018.2/4,2018.2/4,2018.2/4,2018.2/4,2018.2/4,2018.2/4,2018.2/4,2018.2/4,2018.2/4,2018.2/4,2018.3/4,2018.3/4,2018.3/4,2018.3/4,2018.3/4,2018.3/4,2018.3/4,2018.3/4,2018.3/4,2018.3/4,2018.4/4,2018.4/4,2018.4/4,2018.4/4,2018.4/4,2018.4/4,2018.4/4,2018.4/4,2018.4/4,2018.4/4,2019.1/4,2019.1/4,2019.1/4,2019.1/4,2019.1/4,2019.1/4,2019.1/4,2019.1/4,2019.1/4,2019.1/4,2019.2/4,2019.2/4,2019.2/4,2019.2/4,2019.2/4,2019.2/4,2019.2/4,2019.2/4,2019.2/4,2019.2/4,2019.3/4,2019.3/4,2019.3/4,2019.3/4,2019.3/4,2019.3/4,2019.3/4,2019.3/4,2019.3/4,2019.3/4,2019.4/4,2019.4/4,2019.4/4,2019.4/4,2019.4/4,2019.4/4,2019.4/4,2019.4/4,2019.4/4,2019.4/4,2020.1/4,2020.1/4,2020.1/4,2020.1/4,2020.1/4,2020.1/4,2020.1/4,2020.1/4,2020.1/4,2020.1/4,2020.2/4,2020.2/4,2020.2/4,2020.2/4,2020.2/4,2020.2/4,2020.2/4,2020.2/4,2020.2/4,2020.2/4,2020.3/4,2020.3/4,2020.3/4,2020.3/4,2020.3/4,2020.3/4,2020.3/4,2020.3/4,2020.3/4,2020.3/4,2020.4/4,2020.4/4,2020.4/4,2020.4/4,2020.4/4,2020.4/4,2020.4/4,2020.4/4,2020.4/4,2020.4/4,2021.1/4,2021.1/4,2021.1/4,2021.1/4,2021.1/4,2021.1/4,2021.1/4,2021.1/4,2021.1/4,2021.1/4,2021.2/4,2021.2/4,2021.2/4,2021.2/4,2021.2/4,2021.2/4,2021.2/4,2021.2/4,2021.2/4,2021.2/4,2021.3/4,2021.3/4,2021.3/4,2021.3/4,2021.3/4,2021.3/4,2021.3/4,2021.3/4,2021.3/4,2021.3/4,2021.4/4,2021.4/4,2021.4/4,2021.4/4,2021.4/4,2021.4/4,2021.4/4,2021.4/4,2021.4/4,2021.4/4,2022.1/4,2022.1/4,2022.1/4,2022.1/4,2022.1/4,2022.1/4,2022.1/4,2022.1/4,2022.1/4,2022.1/4,2022.2/4,2022.2/4,2022.2/4,2022.2/4,2022.2/4,2022.2/4,2022.2/4,2022.2/4,2022.2/4,2022.2/4,2022.3/4,2022.3/4,2022.3/4,2022.3/4,2022.3/4,2022.3/4,2022.3/4,2022.3/4,2022.3/4,2022.3/4,2022.4/4,2022.4/4,2022.4/4,2022.4/4,2022.4/4,2022.4/4,2022.4/4,2022.4/4,2022.4/4,2022.4/4,2023.1/4,2023.1/4,2023.1/4,2023.1/4,2023.1/4,2023.1/4,2023.1/4,2023.1/4,2023.1/4,2023.1/4,2023.2/4,2023.2/4,2023.2/4,2023.2/4,2023.2/4,2023.2/4,2023.2/4,2023.2/4,2023.2/4,2023.2/4
"By province",Total,under 2 months,2~4 months,4~6 months,total : 6~8 months,female : 6~8 months,male : 6~8 months,total : 8 months and over,female : 8 months and over,male : 8 months and over,Total,under 2 months,2~4 months,4~6 months,total : 6~8 months,female : 6~8 months,male : 6~8 months,total : 8 months and over,female : 8 months and over,male : 8 months and over,Total,under 2 months,2~4 months,4~6 months,total : 6~8 months,female : 6~8 months,male : 6~8 months,total : 8 months and over,female : 8 months and over,male : 8 months and over,Total,under 2 months,2~4 months,4~6 months,total : 6~8 months,female : 6~8 months,male : 6~8 months,total : 8 months and over,female : 8 months and over,male : 8 months and over,Total,under 2 months,2~4 months,4~6 months,total : 6~8 months,female : 6~8 months,male : 6~8 months,total : 8 months and over,female : 8 months and over,male : 8 months and over,Total,under 2 months,2~4 months,4~6 months,total : 6~8 months,female : 6~8 months,male : 6~8 months,total : 8 months and over,female : 8 months and over,male : 8 months and over,Total,under 2 months,2~4 months,4~6 months,total : 6~8 months,female : 6~8 months,male : 6~8 months,total : 8 months and over,female : 8 months and over,male : 8 months and over,Total,under 2 months,2~4 months,4~6 months,total : 6~8 months,female : 6~8 months,male : 6~8 months,total : 8 months and over,female : 8 months and over,male : 8 months and over,Total,under 2 months,2~4 months,4~6 months,total : 6~8 months,female : 6~8 months,male : 6~8 months,total : 8 months and over,female : 8 months and over,male : 8 months and over,Total,under 2 months,2~4 months,4~6 months,total : 6~8 months,female : 6~8 months,male : 6~8 months,total : 8 months and over,female : 8 months and over,male : 8 months and over,Total,under 2 months,2~4 months,4~6 months,total : 6~8 months,female : 6~8 months,male : 6~8 months,total : 8 months and over,female : 8 months and over,male : 8 months and over,Total,under 2 months,2~4 months,4~6 months,total : 6~8 months,female : 6~8 months,male : 6~8 months,total : 8 months and over,female : 8 months and over,male : 8 months and over,Total,under 2 months,2~4 months,4~6 months,total : 6~8 months,female : 6~8 months,male : 6~8 months,total : 8 months and over,female : 8 months and over,male : 8 months and over,Total,under 2 months,2~4 months,4~6 months,total : 6~8 months,female : 6~8 months,male : 6~8 months,total : 8 months and over,female : 8 months and over,male : 8 months and over,Total,under 2 months,2~4 months,4~6 months,total : 6~8 months,female : 6~8 months,male : 6~8 months,total : 8 months and over,female : 8 months and over,male : 8 months and over,Total,under 2 months,2~4 months,4~6 months,total : 6~8 months,female : 6~8 months,male : 6~8 months,total : 8 months and over,female : 8 months and over,male : 8 months and over,Total,under 2 months,2~4 months,4~6 months,total : 6~8 months,female : 6~8 months,male : 6~8 months,total : 8 months and over,female : 8 months and over,male : 8 months and over,Total,under 2 months,2~4 months,4~6 months,total : 6~8 months,female : 6~8 months,male : 6~8 months,total : 8 months and over,female : 8 months and over,male : 8 months and over,Total,under 2 months,2~4 months,4~6 months,total : 6~8 months,female : 6~8 months,male : 6~8 months,total : 8 months and over,female : 8 months and over,male : 8 months and over,Total,under 2 months,2~4 months,4~6 months,total : 6~8 months,female : 6~8 months,male : 6~8 months,total : 8 months and over,female : 8 months and over,male : 8 months and over,Total,under 2 months,2~4 months,4~6 months,total : 6~8 months,female : 6~8 months,male : 6~8 months,total : 8 months and over,female : 8 months and over,male : 8 months and over,Total,under 2 months,2~4 months,4~6 months,total : 6~8 months,female : 6~8 months,male : 6~8 months,total : 8 months and over,female : 8 months and over,male : 8 months and over,Total,under 2 months,2~4 months,4~6 months,total : 6~8 months,female : 6~8 months,male : 6~8 months,total : 8 months and over,female : 8 months and over,male : 8 months and over,Total,under 2 months,2~4 months,4~6 months,total : 6~8 months,female : 6~8 months,male : 6~8 months,total : 8 months and over,female : 8 months and over,male : 8 months and over,Total,under 2 months,2~4 months,4~6 months,total : 6~8 months,female : 6~8 months,male : 6~8 months,total : 8 months and over,female : 8 months and over,male : 8 months and over,Total,under 2 months,2~4 months,4~6 months,total : 6~8 months,female : 6~8 months,male : 6~8 months,total : 8 months and over,female : 8 months and over,male : 8 months and over
"Whole country",11004533,3422004,3283971,3214787,120295,113439,6855,963476,943198,20278,11186783,3473275,3390725,3221618,134804,127731,7074,966361,947191,19170,11493282,3533563,3508146,3365234,117792,111818,5974,968548,949502,19046,11272978,3438072,3362444,3374192,123982,113492,10490,974288,955477,18811,11156224,3487587,3278810,3302491,113309,107933,5377,974028,955395,18633,11303750,3544894,3410505,3251666,116107,111399,4709,980577,961839,18738,11640677,3618510,3598490,3313215,139133,118328,20805,971330,953203,18127,11332812,3508461,3473537,3248023,131247,118988,12259,971545,953594,17951,11199715,3512034,3434459,3160054,116468,111004,5463,976701,959340,17361,11316546,3554259,3467673,3195673,121533,116387,5146,977409,960183,17226,11712607,3660284,3585955,3373561,116965,111824,5141,975842,958008,17834,11279894,3496643,3452524,3257380,132394,113948,18446,940953,923590,17362,11208400,3525016,3414684,3188289,126589,114300,12289,953822,936392,17429,11088495,3504557,3314310,3204906,125478,112968,12509,939244,921808,17437,11364564,3522019,3429465,3362666,120850,106859,13991,929563,911634,17930,11078032,3398806,3378995,3257254,119749,103122,16626,923229,905222,18007,11146824,3525330,3315046,3243702,123670,112212,11458,939075,921127,17948,11150373,3559090,3372596,3141961,130985,120265,10720,945741,928681,17060,11464603,3601275,3550149,3247609,118496,108296,10199,947075,928796,18279,11216566,3482419,3454226,3214623,120809,109406,11403,944490,926296,18194,11169120,3500663,3403932,3198437,122807,110267,12540,943281,925414,17866,11166333,3546322,3348614,3211839,121303,111052,10251,938255,920104,18151,11326038,3545493,3481265,3253935,115522,104936,10586,929823,913315,16508,11123872,3476678,3393790,3222240,118713,107999,10714,912451,896184,16267,11110726,3522437,3383039,3152606,124860,110517,14343,927784,911050,16734,11108296,3544200,3355132,3154538,124465,112430,12034,929961,913709,16253
"Seoul",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Busan",6811,1713,1825,2653,44,43,1,576,553,23,6834,1582,2297,2325,43,42,1,587,564,23,7601,2108,2239,2487,192,51,141,575,552,23,7341,1634,2481,2512,156,65,91,558,536,22,7155,1686,2177,2565,117,114,3,610,589,21,7170,1729,2573,2213,64,60,4,591,571,20,7171,1855,2177,2528,45,43,2,566,547,19,7098,1716,2620,2196,44,43,1,522,505,17,6504,1368,2009,2602,50,49,1,475,460,15,6178,1391,2089,2202,46,45,1,450,433,17,6318,1442,2604,1789,48,47,1,435,419,16,5941,1387,2107,1860,141,140,1,446,430,16,4912,1227,1969,1188,95,94,1,433,417,16,5249,1517,1966,1287,51,50,1,428,414,14,4023,923,1563,1161,19,18,1,357,344,13,4474,912,1975,1220,26,25,1,341,329,12,4613,1045,1551,1638,36,35,1,343,330,13,4501,1085,1611,1443,14,13,1,348,336,12,4377,960,1593,1502,25,25,0,297,285,12,4174,752,1536,1546,31,30,1,309,305,4,3392,690,1362,1106,21,20,1,213,208,5,4002,724,1219,1814,30,30,0,215,209,6,3990,729,1697,1337,18,18,0,209,204,5,4202,567,1726,1654,54,36,18,201,196,5,3905,634,1613,1422,36,36,0,200,196,4,3854,606,1381,1649,18,18,0,200,196,4
"Daegu",10100,2231,4119,2868,22,22,0,860,718,142,9595,2905,2759,3048,22,22,0,861,720,141,9860,3148,2713,3111,18,18,0,870,731,139,9024,1857,2710,3647,20,20,0,790,670,120,9185,1852,3609,2918,12,12,0,794,678,116,7683,1816,1826,3279,35,35,0,727,612,115,8824,1834,3428,2814,17,17,0,731,616,115,7211,1829,1741,2941,15,15,0,685,568,117,9108,1799,2658,3908,34,29,5,709,571,138,7136,1990,1837,2557,32,32,0,720,585,135,8533,1934,2688,3231,15,15,0,665,555,110,9293,2051,3589,2964,31,31,0,658,555,103,9647,2491,3627,2840,20,20,0,669,558,111,8219,1620,2999,2890,41,41,0,669,553,116,8262,1628,3512,2425,42,42,0,655,544,111,8268,2461,2832,2281,45,45,0,649,541,108,8062,1606,3103,2677,8,8,0,668,565,103,7521,1648,2820,2352,45,20,25,656,549,107,8284,1790,2969,2843,45,20,25,637,529,108,8060,1675,2906,2799,16,11,5,664,538,126,8239,1678,2994,2878,28,13,15,661,520,141,8324,1726,2995,2866,35,35,0,702,545,157,8150,1595,3083,2755,55,55,0,662,506,156,7983,1449,3044,2751,58,58,0,681,525,156,8447,1732,3105,2863,41,41,0,706,530,176,8456,1743,3191,2848,35,35,0,639,508,131
"Incheon",42638,13306,12190,12933,262,229,33,3947,3832,115,44842,12545,16906,11024,518,518,0,3849,3715,133,46692,15917,14979,11298,308,308,0,4189,3805,385,43694,11994,13723,13672,186,186,0,4118,4008,110,42670,11783,15830,10797,270,270,0,3990,3870,120,41568,12844,14991,9237,519,518,1,3977,3864,113,45526,13366,14629,13165,403,397,6,3963,3830,133,40773,11731,13418,11252,430,430,0,3942,3827,115,42109,12515,14948,10620,317,316,1,3709,3604,105,40466,11274,15650,9537,478,476,2,3527,3425,102,41523,13130,12890,11760,234,234,0,3509,3416,93,3474,983,1170,932,43,41,2,346,334,12,3359,1009,1136,836,46,45,1,332,323,9,3587,988,1244,964,60,58,2,331,322,9,3848,1310,1055,1074,28,28,0,381,371,10,3887,1576,1060,873,30,30,0,348,338,10,3920,920,1315,1105,202,183,19,378,365,13,4070,1164,1167,1095,132,130,2,512,495,17,6129,1534,1044,1229,260,259,1,2062,2031,31,7744,1933,2214,1110,103,103,0,2384,2346,38,17194,10128,2663,1778,207,207,0,2418,2382,36,20115,8994,4220,4519,87,87,0,2295,2261,34,25632,8698,9440,5175,57,57,0,2262,2231,31,26502,9096,7679,7407,38,38,0,2282,2247,35,27225,8570,9216,7168,38,37,1,2233,2199,34,26533,12370,6056,5825,94,94,0,2188,2154,34
"Gwangju",8443,2675,2896,2008,88,88,0,776,759,17,8185,2625,2936,1740,46,43,3,838,820,18,9155,2641,3853,1789,48,48,0,824,805,19,9005,2858,3331,1849,131,131,0,836,816,20,8155,2851,2770,1664,71,71,0,799,784,15,8064,2598,2990,1652,69,69,0,755,739,16,8791,2704,3539,1716,62,62,0,770,753,17,8920,3148,3226,1739,69,66,3,738,724,14,8004,2868,2701,1658,47,47,0,730,715,15,7612,2385,2713,1783,51,51,0,680,666,14,7779,2299,3115,1632,57,57,0,676,663,13,7660,2450,2788,1634,106,106,0,682,671,11,7812,2389,3149,1414,95,95,0,765,748,17,8703,2843,3006,2010,70,70,0,774,758,16,8883,2670,3659,1746,60,60,0,748,733,15,9101,2741,3385,2197,90,90,0,688,675,13,8977,3008,3207,2001,91,91,0,670,656,14,9112,2952,3370,1932,80,80,0,778,763,15,9597,3618,2995,2121,66,66,0,797,782,15,8340,2658,3049,1812,62,62,0,759,742,17,8063,2454,2774,2054,62,62,0,719,704,15,7153,2194,2417,1759,50,50,0,733,714,19,7915,2596,2544,1910,78,78,0,787,770,17,7985,2521,2809,1811,32,32,0,812,795,17,8986,3471,2593,2040,90,90,0,792,774,18,8987,2917,3301,1971,37,37,0,761,739,22
"Daejeon",111,10,55,30,1,1,0,15,13,2,78,7,12,45,0,0,0,14,12,2,92,30,12,35,0,0,0,15,12,3,90,0,28,47,0,0,0,15,12,3,82,0,10,57,0,0,0,15,12,3,106,36,32,21,2,2,0,15,12,3,92,10,39,20,6,4,2,17,13,4,115,20,49,30,0,0,0,16,12,4,104,20,30,40,0,0,0,14,12,2,94,20,30,30,0,0,0,14,12,2,109,30,30,37,0,0,0,12,10,2,98,20,34,32,0,0,0,12,10,2,100,20,30,39,0,0,0,11,10,1,97,20,40,30,0,0,0,7,6,1,90,20,30,33,0,0,0,7,6,1,80,20,30,20,0,0,0,10,8,2,90,30,30,20,0,0,0,10,8,2,90,27,30,23,0,0,0,10,8,2,92,20,30,30,2,2,0,10,10,0,90,20,30,30,0,0,0,10,8,2,90,20,22,38,0,0,0,10,8,2,90,17,18,43,0,0,0,12,10,2,90,19,16,45,0,0,0,10,8,2,88,17,29,32,0,0,0,10,8,2,80,20,20,30,0,0,0,10,8,2,71,16,20,25,0,0,0,10,8,2
"Ulsan",34167,8724,10668,12721,249,246,3,1805,1759,45,31161,7765,10494,10635,325,303,23,1942,1887,56,30739,5988,10968,11702,189,181,8,1891,1842,49,34657,6050,14981,11656,101,93,8,1869,1820,49,30860,9747,11372,7713,219,219,0,1809,1759,50,33742,5819,13683,12057,329,315,14,1854,1808,46,31693,5997,12361,11285,228,224,4,1822,1779,43,32200,12058,8885,9170,200,193,7,1887,1846,41,31397,11262,9266,8904,129,128,1,1836,1798,38,35011,5812,12803,14328,245,245,0,1823,1779,44,34544,5889,13488,13082,259,259,0,1826,1782,44,31656,6054,13477,9937,341,339,2,1847,1807,40,37522,5673,13683,15163,362,358,4,2641,2595,46,34850,6400,12769,13414,226,221,5,2041,1996,45,33671,6032,13067,12410,116,111,5,2046,2000,46,35369,7982,12626,12588,127,124,3,2046,2000,46,32069,9443,10655,9748,209,208,1,2014,1962,52,25649,7964,6021,9525,202,200,2,1937,1888,49,22460,8256,6007,6028,247,244,3,1922,1870,52,23142,9149,7356,4613,151,147,4,1873,1820,53,32900,13005,13146,4716,158,158,0,1875,1822,53,42575,16804,16198,7578,130,130,0,1865,1813,52,41839,19399,14081,6415,119,118,1,1825,1782,43,39737,18626,11472,7633,133,133,0,1873,1833,40,40870,17610,15402,5875,122,122,0,1861,1828,33,38515,14963,14844,6828,94,94,0,1786,1755,31
"Sejong",92234,27547,22043,33971,625,625,0,8048,7801,247,92127,27698,21931,33597,696,696,0,8205,7966,239,95764,29998,24024,32735,779,778,1,8228,7963,265,97980,31044,23414,33970,849,849,0,8703,8436,267,80664,26168,20584,25645,642,642,0,7625,7362,263,82420,28978,19950,24317,1201,1201,0,7974,7721,253,93331,29460,22728,31939,841,841,0,8363,8095,268,91656,29108,25490,27893,679,679,0,8486,8212,274,91551,28669,22119,31635,655,655,0,8473,8202,271,91091,28915,24183,28661,816,813,3,8516,8247,269,89133,26086,22095,31752,766,766,0,8434,8184,250,89091,29013,19474,31263,960,960,0,8381,8147,234,95632,28759,25288,31657,810,809,1,9118,8838,280,96274,33462,21600,31364,737,735,2,9111,8828,283,100781,33044,28884,29145,590,588,2,9118,8819,299,95062,31137,26607,27706,668,663,5,8944,8694,250,94944,33943,23530,28191,637,635,2,8643,8406,237,93476,31469,25523,27067,727,727,0,8690,8463,227,96276,31649,26106,29297,855,854,1,8369,8168,201,91920,31507,24096,27198,895,893,2,8224,8019,205,93011,31727,24768,27492,830,829,1,8194,7988,206,88547,31824,24462,23581,788,788,0,7892,7666,226,89409,28199,25181,27762,731,729,2,7536,7316,220,89699,30080,25183,26249,630,630,0,7557,7329,228,84427,30256,21911,24254,689,664,25,7317,7100,217,88657,29308,24881,26328,766,750,16,7374,7156,218
