STATcube

"Bovine livestock as of 1993 (Q)"
"Key date by Bovine category"
"Counting: Number of bovines"

Filters:
"Default Summation","Number of bovines"

"Bovine category","Bovine animals less than one year old for slaughter","Bovine animals less than one year old for slaughter - Annotations","Bovine male animals less than one year old not for slaughter","Bovine male animals less than one year old not for slaughter - Annotations","Bovine female animals less than one year old not for slaughter","Bovine female animals less than one year old not for slaughter - Annotations","Male bovines one to less than two years old","Male bovines one to less than two years old - Annotations","Heifers one to less than two years old for slaughter","Heifers one to less than two years old for slaughter - Annotations","Heifers one to less than two years old not for slaughter","Heifers one to less than two years old not for slaughter - Annotations","Male bovines two years old and over","Male bovines two years old and over - Annotations","Heifers two years old and over for slaughter","Heifers two years old and over for slaughter - Annotations","Heifers two years old and over not for slaughter","Heifers two years old and over not for slaughter - Annotations","Dairy cows two years old and over","Dairy cows two years old and over - Annotations","Non-dairy cows two years old and over","Non-dairy cows two years old and over - Annotations","Not classifiable","Not classifiable - Annotations",
"Key date",
"June 2023",36117,,249265,,288335,,162749,,65186,,197784,,20284,,13426,,88579,,546035,,157992,,-,,
"June 2022",38848,,259099,,294265,,159980,,64406,,197536,,18654,,13155,,86530,,549123,,160578,,-,,
"June 2021",147809,,172468,,275788,,153992,,85177,,173534,,18569,,17635,,86687,,531158,,183602,,-,,
"June 2020",145050,,169822,,272886,,156884,,84091,,174795,,18698,,17662,,88290,,522958,,193199,,-,,
"June 2019",146218,,172926,,276698,,161500,,83093,,179962,,18094,,17850,,91141,,524931,,200895,,-,,
"June 2018",147851,,177107,,280563,,163765,,82082,,186734,,17625,,17735,,93236,,537681,,202436,,-,,
"June 2017",152064,,181702,,285797,,161117,,79697,,190067,,17838,,18281,,97060,,539997,,214858,,-,,
"June 2016",148083,,178871,,278212,,165440,,80456,,194940,,16989,,18097,,96703,,536441,,218293,,-,,
"June 2015",152416,,185087,,284480,,165357,,79678,,192150,,15973,,17652,,95298,,539565,,222269,,-,,
"June 2014",151451,,183695,,277486,,160515,,77935,,185076,,15283,,18044,,97270,,534427,,235746,,-,,
"June 2013",149353,,181154,,273645,,165323,,79893,,189732,,15362,,18149,,97842,,524050,,244903,,-,,
"June 2012",152433,,185727,,275496,,162622,,81198,,184518,,15503,,18749,,99148,,528606,,253389,,-,,
"June 2011",154083,,187439,,272146,,167962,,84566,,184769,,16221,,19592,,102628,,532141,,260020,,-,,
"June 2010",160033,,191083,,271995,,176682,,88269,,187920,,16888,,20613,,106148,,535263,,264228,,-,,
"June 2009",142255,,208046,,280053,,172751,,76356,,194762,,16009,,17478,,105385,,532983,,266686,,-,,
"June 2008",117108,,222303,,280960,,172014,,64019,,200898,,14890,,14673,,106207,,527498,,270114,,-,,
"June 2007",99929,,235524,,285022,,175473,,53953,,212546,,15082,,12835,,108737,,528120,,270908,,-,,
"June 2006",78099,,250762,,287932,,173457,,42632,,222994,,15487,,10306,,114918,,535145,,270411,,-,,
"June 2005",56298,,264679,,293667,,179303,,30926,,227792,,18421,,7950,,123340,,540669,,265368,,-,,
"June 2004",59109,,272912,,294382,,186637,,32066,,232165,,25279,,8325,,131378,,542770,,261528,,-,,
"June 2003",56526,,262054,,306692,,186400,,32094,,235324,,16564,,7451,,135265,,571368,,243103,,-,,
"June 2002",72273,,296518,,263118,,191035,,36426,,238447,,17076,,11777,,122479,,600055,,244954,,-,,
"June 2001",74970,,307592,,272940,,190874,,37276,,244013,,20930,,12297,,127895,,616454,,257734,,-,,
"June 2000",55588,,285186,,304519,,192175,,30595,,248215,,24036,,6803,,137123,,682735,,189819,,-,,
"June 1999",45952,,276995,,310921,,209522,,32044,,254185,,23500,,6889,,131051,,698693,,179932,,-,,
"June 1998",47857,,283248,,308961,,215072,,32322,,254942,,25660,,7140,,137757,,706931,,167354,,-,,
"June 1997",60535,,283760,,307880,,231500,,35811,,264727,,23043,,6079,,132270,,679128,,213456,,-,,
"June 1996",58254,,308277,,324203,,253617,,32600,,268499,,28153,,6314,,130115,,690031,,219583,,-,,
"June 1995",59396,,319154,,323235,,261642,,32755,,261141,,25766,,5771,,126674,,724726,,177644,,-,,
"June 1994",76033,,316645,,310096,,280435,,36317,,265933,,26492,,7394,,129896,,816769,,71217,,-,,
"June 1993",80332,,316928,,309069,,285905,,38165,,266703,,30186,,7131,,125963,,825114,,65043,,-,,
"December 2022",43994,,260046,,292950,,165998,,64802,,199330,,21801,,14766,,89019,,550554,,157811,,-,,
"December 2021",154126,,179258,,277623,,161032,,79960,,180083,,20479,,18734,,86652,,526461,,185692,,-,,
"December 2020",150996,,175616,,271986,,155744,,79533,,179120,,20392,,18945,,87632,,524783,,190685,,-,,
"December 2019",152117,,177804,,275401,,164927,,78096,,183402,,20047,,18734,,89444,,524068,,195480,,-,,
"December 2018",154927,,182250,,281041,,163060,,76625,,188698,,19872,,19218,,93769,,532873,,200475,,-,,
"December 2017",157245,,184121,,282151,,166798,,81429,,190364,,18391,,18752,,93797,,543421,,207007,,-,,
